<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20200104;000000;1.1161600;1.1162100;1.1151000;1.1159900;24073
20200104;010000;1.1159800;1.1159800;1.1159800;1.1159800;1
20200105;210000;1.1165000;1.1165000;1.1159000;1.1159000;71
20200105;220000;1.1159000;1.1168900;1.1159000;1.1165900;68
20200105;230000;1.1165000;1.1166500;1.1160000;1.1165800;31
20200106;000000;1.1165800;1.1168100;1.1162000;1.1167700;84
20200106;010000;1.1165000;1.1168400;1.1157000;1.1159200;10321
20200106;020000;1.1159600;1.1167800;1.1158000;1.1160500;63881
20200106;030000;1.1160200;1.1168500;1.1159000;1.1163400;55829
20200106;040000;1.1163500;1.1165500;1.1160000;1.1162800;52519
20200106;050000;1.1162600;1.1167100;1.1161000;1.1165000;32447
20200106;060000;1.1165100;1.1171100;1.1164000;1.1165800;39735
20200106;070000;1.1165900;1.1166200;1.1160000;1.1164000;33718
20200106;080000;1.1163800;1.1165200;1.1159000;1.1161000;26777
20200106;090000;1.1162300;1.1162600;1.1155000;1.1160400;42570
20200106;100000;1.1160700;1.1167000;1.1158000;1.1164700;81306
20200106;110000;1.1164700;1.1179900;1.1162000;1.1178500;103459
20200106;120000;1.1178500;1.1193700;1.1174000;1.1193300;96415
20200106;130000;1.1193100;1.1199700;1.1188000;1.1196300;80220
20200106;140000;1.1196100;1.1205500;1.1195000;1.1203200;82105
20200106;150000;1.1203100;1.1204300;1.1194000;1.1198100;60062
20200106;160000;1.1198200;1.1203300;1.1189000;1.1197700;81002
20200106;170000;1.1197500;1.1200200;1.1181000;1.1183200;86718
20200106;180000;1.1183200;1.1190200;1.1180000;1.1188600;101134
20200106;190000;1.1188700;1.1189700;1.1180000;1.1187200;75576
20200106;200000;1.1186700;1.1196000;1.1182000;1.1194000;53308
20200106;210000;1.1194800;1.1198000;1.1190000;1.1191100;41897
20200106;220000;1.1191800;1.1193000;1.1186000;1.1190900;41908
20200106;230000;1.1191200;1.1193900;1.1187000;1.1193600;39012
20200107;000000;1.1193400;1.1199100;1.1191000;1.1196900;17204
20200107;010000;1.1197200;1.1197200;1.1191500;1.1195500;12963
20200107;020000;1.1195400;1.1197600;1.1192000;1.1195300;26864
20200107;030000;1.1195400;1.1195600;1.1188000;1.1189700;35633
20200107;040000;1.1189800;1.1197100;1.1188000;1.1193400;38443
